CODAmotion Analysis Text
Codamotion Analysis Text Save of: Acquisition.1
Time	Markers																															
Time	Marker 1.X	Marker 1.Y	Marker 1.Z	1.V	Marker 2.X	Marker 2.Y	Marker 2.Z	2.V	Marker 3.X	Marker 3.Y	Marker 3.Z	3.V	Marker 4.X	Marker 4.Y	Marker 4.Z	4.V	Marker 5.X	Marker 5.Y	Marker 5.Z	5.V	Marker 6.X	Marker 6.Y	Marker 6.Z	6.V	Marker 7.X	Marker 7.Y	Marker 7.Z	7.V	Marker 8.X	Marker 8.Y	Marker 8.Z	8.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.00000	9.30	-360.57	29.89	1	-0.30	0.31	1.52	1	-753.45	-0.31	3.81	1	0.00	0.00	0.00	0	-779.88	-321.88	271.47	1	-781.95	-302.77	272.68	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.00500	20.54	-364.86	-0.23	1	-0.01	0.18	0.76	1	-753.06	-0.32	1.33	1	0.00	0.00	0.00	0	-779.94	-321.95	272.08	1	-782.10	-302.73	272.76	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.01000	20.33	-364.67	0.35	1	-0.01	0.24	0.65	1	-752.85	-0.32	-0.98	1	0.00	0.00	0.00	0	-780.14	-321.82	272.87	1	-782.03	-302.69	273.27	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.01500	20.20	-364.76	1.02	1	0.55	0.11	-1.32	1	-753.54	-0.19	3.09	1	0.00	0.00	0.00	0	-780.05	-321.88	272.38	1	-781.89	-302.95	272.09	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.02000	20.37	-364.99	0.17	1	-0.35	0.24	1.23	1	-752.60	-0.78	-1.71	1	0.00	0.00	0.00	0	-779.92	-321.97	271.93	1	-781.95	-302.66	272.92	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.02500	20.82	-364.92	0.03	1	-0.07	0.20	0.75	1	-753.18	-0.39	0.97	1	0.00	0.00	0.00	0	-779.81	-322.08	271.19	1	-782.07	-302.91	272.86	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.03000	20.77	-365.05	-0.48	1	0.06	0.30	0.48	1	-753.18	-0.13	3.04	1	0.00	0.00	0.00	0	-780.00	-321.88	272.51	1	-781.92	-302.97	273.10	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.03500	20.21	-364.80	1.26	1	0.01	0.32	1.00	1	-753.03	-0.18	1.08	1	0.00	0.00	0.00	0	-780.02	-322.05	272.74	1	-781.89	-303.05	272.00	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.04000	20.64	-364.91	0.16	1	0.18	0.18	-0.01	1	-752.90	-0.35	0.91	1	0.00	0.00	0.00	0	-780.10	-322.10	272.17	1	-782.02	-302.83	272.66	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.04500	20.66	-365.06	-0.32	1	0.01	0.41	1.21	1	-752.57	-0.24	-2.76	1	0.00	0.00	0.00	0	-779.79	-322.24	271.12	1	-782.01	-303.02	272.69	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.05000	20.71	-364.80	-0.01	1	-0.56	0.35	1.83	1	-753.33	-0.51	0.61	1	0.00	0.00	0.00	0	-779.98	-322.09	272.06	1	-782.20	-302.77	273.96	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.05500	20.61	-364.89	0.57	1	-0.16	0.31	0.91	1	-753.32	-0.37	1.46	1	0.00	0.00	0.00	0	-779.94	-322.12	271.68	1	-781.97	-302.98	273.47	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.06000	20.10	-364.59	1.35	1	-0.50	0.28	1.70	1	-753.20	-0.35	1.43	1	0.00	0.00	0.00	0	-779.95	-322.13	272.29	1	-782.06	-302.93	273.61	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.06500	20.53	-365.01	-0.14	1	0.39	0.15	-0.66	1	-753.42	-0.15	1.91	1	0.00	0.00	0.00	0	-779.99	-322.03	273.00	1	-782.06	-302.97	273.61	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.07000	19.39	-364.74	3.20	1	-0.56	0.41	1.97	1	-753.14	-0.45	-1.11	1	0.00	0.00	0.00	0	-780.05	-322.15	272.81	1	-782.04	-302.92	273.84	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.07500	20.54	-364.99	0.43	1	-0.06	0.28	0.96	1	-752.74	-0.12	0.36	1	0.00	0.00	0.00	0	-779.84	-322.11	272.19	1	-781.99	-303.08	273.35	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.08000	20.48	-364.85	0.29	1	0.24	0.05	0.20	1	-753.48	-0.14	2.51	1	0.00	0.00	0.00	0	-779.93	-322.16	272.28	1	-781.83	-303.09	273.03	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.08500	20.61	-364.94	0.28	1	-0.38	0.19	1.34	1	-752.61	-0.49	-1.77	1	0.00	0.00	0.00	0	-779.82	-322.27	271.54	1	-781.79	-303.08	272.71	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.09000	20.78	-365.04	-0.03	1	0.08	0.16	0.60	1	-753.35	-0.31	3.09	1	0.00	0.00	0.00	0	-779.84	-322.30	271.17	1	-782.02	-302.99	273.65	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.09500	20.44	-364.80	0.05	1	0.18	0.26	0.38	1	-753.90	-0.28	4.56	1	0.00	0.00	0.00	0	-779.81	-322.35	271.52	1	-782.16	-303.09	273.68	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.10000	19.97	-364.75	1.53	1	-0.19	0.18	1.02	1	-752.84	-0.51	1.11	1	0.00	0.00	0.00	0	-779.77	-322.30	271.86	1	-781.93	-302.94	273.63	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.10500	19.98	-364.62	1.54	1	-0.17	0.20	0.53	1	-753.67	-0.01	1.95	1	0.00	0.00	0.00	0	-779.99	-322.26	272.71	1	-782.02	-303.01	273.53	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.11000	20.38	-364.86	0.41	1	-0.10	0.25	0.46	1	-753.74	-0.25	2.78	1	0.00	0.00	0.00	0	-779.78	-322.26	272.35	1	-781.95	-303.01	273.50	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.11500	19.96	-364.59	1.36	1	0.07	0.31	-0.34	1	-752.89	-0.51	0.27	1	0.00	0.00	0.00	0	-780.01	-322.12	272.87	1	-782.02	-303.04	273.87	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.12000	20.50	-364.84	0.24	1	-0.92	0.38	2.66	1	-752.82	-0.54	0.52	1	0.00	0.00	0.00	0	-779.95	-322.34	271.94	1	-781.87	-302.96	273.66	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.12500	19.82	-364.83	1.89	1	-0.54	0.25	1.57	1	-753.57	-0.40	3.05	1	0.00	0.00	0.00	0	-779.92	-322.24	272.97	1	-782.02	-302.84	274.12	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.13000	20.33	-364.90	0.68	1	-0.15	0.16	1.41	1	-752.66	-0.42	-2.75	1	0.00	0.00	0.00	0	-779.96	-322.24	272.54	1	-782.01	-302.98	273.84	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.13500	20.77	-365.03	-0.70	1	0.16	0.22	0.23	1	-753.28	-0.40	2.12	1	0.00	0.00	0.00	0	-780.22	-322.10	273.15	1	-782.05	-302.91	274.05	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.14000	19.82	-364.68	1.75	1	0.37	0.26	-0.59	1	-753.13	-0.20	1.39	1	0.00	0.00	0.00	0	-779.99	-322.06	271.95	1	-781.87	-303.04	272.29	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.14500	19.80	-364.84	1.91	1	-0.19	0.19	1.19	1	-753.47	-0.05	1.83	1	0.00	0.00	0.00	0	-779.91	-322.17	271.95	1	-781.95	-302.97	272.87	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.15000	20.22	-364.92	0.81	1	-0.55	0.30	1.44	1	-753.41	-0.13	3.16	1	0.00	0.00	0.00	0	-780.13	-321.94	274.33	1	-781.88	-302.93	273.31	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.15500	20.69	-365.08	-0.03	1	-0.14	0.16	0.80	1	-753.02	-0.61	1.51	1	0.00	0.00	0.00	0	-779.81	-322.11	272.18	1	-781.86	-302.99	273.39	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.16000	20.47	-364.97	0.32	1	0.60	0.13	-0.80	1	-753.05	-0.43	2.85	1	0.00	0.00	0.00	0	-779.81	-322.10	272.22	1	-781.88	-302.90	272.93	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.16500	20.66	-364.99	-0.00	1	-0.08	0.21	1.10	1	-753.47	-0.05	0.89	1	0.00	0.00	0.00	0	-779.85	-322.14	272.34	1	-781.70	-302.86	273.68	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.17000	20.07	-364.90	0.98	1	-0.30	0.39	1.20	1	-752.67	-0.29	-1.97	1	0.00	0.00	0.00	0	-779.82	-322.09	272.36	1	-781.94	-302.81	272.94	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.17500	19.71	-364.62	2.62	1	0.23	0.31	0.21	1	-752.92	-0.11	0.70	1	0.00	0.00	0.00	0	-779.79	-322.06	272.44	1	-782.10	-302.78	274.45	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.18000	20.55	-365.02	0.01	1	0.04	0.23	0.46	1	-753.15	-0.40	0.44	1	0.00	0.00	0.00	0	-779.69	-322.13	271.57	1	-782.16	-302.79	274.53	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.18500	19.98	-364.81	1.51	1	-0.03	0.22	0.92	1	-752.84	-0.12	-0.95	1	0.00	0.00	0.00	0	-780.12	-321.97	273.20	1	-782.01	-302.95	273.67	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.19000	19.89	-364.74	1.91	1	-0.37	0.32	1.16	1	-753.74	-0.49	2.94	1	0.00	0.00	0.00	0	-779.93	-321.92	272.58	1	-782.15	-302.87	274.08	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.19500	20.64	-364.89	-0.19	1	-0.53	0.11	1.50	1	-752.77	-0.26	0.27	1	0.00	0.00	0.00	0	-779.98	-322.00	272.90	1	-782.20	-302.66	275.29	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.20000	21.09	-365.03	-0.62	1	-0.16	0.10	0.91	1	-753.30	-0.31	1.31	1	0.00	0.00	0.00	0	-779.89	-322.22	272.12	1	-781.92	-302.87	273.65	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.20500	20.24	-364.94	0.72	1	0.19	0.25	-0.34	1	-753.19	-0.72	0.40	1	0.00	0.00	0.00	0	-779.81	-322.20	272.03	1	-782.05	-303.00	273.14	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.21000	20.50	-364.89	0.58	1	-0.63	0.17	2.10	1	-753.33	-0.18	1.56	1	0.00	0.00	0.00	0	-779.97	-322.22	272.38	1	-781.80	-303.02	273.12	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.21500	20.57	-365.08	0.29	1	0.04	0.18	0.88	1	-752.94	-0.61	0.03	1	0.00	0.00	0.00	0	-779.80	-322.29	272.37	1	-781.99	-302.85	274.25	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.22000	20.44	-364.80	0.22	1	-0.03	0.23	0.71	1	-752.72	-0.33	-1.61	1	0.00	0.00	0.00	0	-779.83	-322.15	272.38	1	-781.86	-303.02	273.82	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.22500	20.39	-364.83	0.50	1	0.52	0.23	0.57	1	-753.43	-0.01	3.74	1	0.00	0.00	0.00	0	-780.04	-322.11	272.84	1	-782.21	-302.89	275.20	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.23000	20.70	-364.96	-0.11	1	-0.28	0.23	1.13	1	-753.07	-0.40	1.58	1	0.00	0.00	0.00	0	-779.66	-322.21	271.53	1	-781.97	-302.80	273.71	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.23500	20.77	-364.95	-0.16	1	-0.53	0.43	2.22	1	-753.11	-0.31	1.11	1	0.00	0.00	0.00	0	-779.62	-322.16	272.01	1	-781.72	-302.79	273.43	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.24000	20.22	-364.86	0.85	1	0.18	0.25	0.07	1	-753.12	0.05	0.77	1	0.00	0.00	0.00	0	-779.58	-322.17	271.72	1	-781.56	-302.91	272.94	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.24500	21.09	-365.04	-1.17	1	-0.17	0.18	0.61	1	-752.57	-0.29	-0.35	1	0.00	0.00	0.00	0	-779.68	-322.05	272.85	1	-781.99	-302.81	273.99	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.25000	20.18	-365.05	-0.16	1	0.22	0.29	0.32	1	-752.66	-0.46	-1.03	1	0.00	0.00	0.00	0	-779.67	-321.97	272.78	1	-781.85	-302.91	273.75	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.25500	19.64	-364.62	2.40	1	0.26	0.17	0.03	1	-752.65	-0.33	-0.72	1	0.00	0.00	0.00	0	-779.96	-322.09	273.11	1	-781.72	-302.84	273.31	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.26000	20.65	-365.01	-0.35	1	-0.19	0.32	0.94	1	-752.93	-0.21	0.68	1	0.00	0.00	0.00	0	-779.74	-322.17	272.28	1	-781.77	-302.91	273.61	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.26500	20.71	-365.02	-0.17	1	0.03	0.22	1.13	1	-752.96	-0.64	-2.19	1	0.00	0.00	0.00	0	-779.71	-322.05	272.09	1	-781.83	-302.82	274.08	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.27000	20.85	-364.91	-0.24	1	0.09	0.30	0.63	1	-753.01	-0.51	1.60	1	0.00	0.00	0.00	0	-779.59	-322.08	272.88	1	-781.72	-303.02	273.93	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.27500	20.49	-365.04	0.91	1	0.31	0.18	0.45	1	-752.79	-0.36	0.02	1	0.00	0.00	0.00	0	-779.64	-322.11	272.72	1	-781.72	-302.99	273.40	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.28000	20.94	-364.95	-0.44	1	-0.12	0.20	1.22	1	-753.18	-0.22	0.60	1	0.00	0.00	0.00	0	-779.69	-322.26	271.65	1	-781.78	-303.00	274.23	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.28500	20.28	-364.82	0.70	1	0.10	0.40	0.61	1	-752.86	-0.31	-0.88	1	0.00	0.00	0.00	0	-779.68	-322.23	272.39	1	-781.86	-302.91	273.93	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.29000	20.22	-365.02	1.03	1	-0.67	0.19	2.85	1	-753.55	-0.09	3.77	1	0.00	0.00	0.00	0	-779.51	-322.29	271.25	1	-781.89	-302.97	274.54	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.29500	19.95	-364.78	1.33	1	-0.52	0.21	1.33	1	-753.40	-0.02	1.03	1	0.00	0.00	0.00	0	-779.86	-322.08	272.64	1	-781.72	-303.02	272.98	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.30000	19.75	-364.78	1.71	1	-0.12	0.39	1.07	1	-753.13	-0.37	1.64	1	0.00	0.00	0.00	0	-779.81	-322.22	272.85	1	-781.99	-302.94	274.81	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.30500	19.86	-364.69	1.65	1	-0.74	0.28	1.95	1	-752.99	-0.29	-0.68	1	0.00	0.00	0.00	0	-779.64	-322.28	272.10	1	-782.01	-302.96	275.40	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.31000	19.56	-364.59	2.33	1	-0.43	0.42	1.65	1	-753.09	-0.29	0.24	1	0.00	0.00	0.00	0	-779.81	-322.28	272.70	1	-781.87	-303.12	274.10	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.31500	19.94	-364.81	2.01	1	-0.10	0.30	0.71	1	-752.92	-0.54	1.29	1	0.00	0.00	0.00	0	-779.71	-322.29	272.41	1	-781.75	-302.96	274.17	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.32000	19.77	-364.82	1.71	1	-0.07	0.24	0.65	1	-753.29	-0.16	1.54	1	0.00	0.00	0.00	0	-779.71	-322.36	272.21	1	-781.94	-303.00	274.53	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.32500	19.83	-364.71	1.97	1	-0.98	0.34	2.88	1	-752.98	-0.36	0.80	1	0.00	0.00	0.00	0	-779.81	-322.26	273.64	1	-781.84	-302.95	274.60	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.33000	20.12	-364.76	1.11	1	-0.12	0.35	1.24	1	-752.69	-0.55	-0.79	1	0.00	0.00	0.00	0	-779.85	-322.30	273.06	1	-781.69	-303.30	273.33	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.33500	20.55	-364.87	-0.06	1	-0.55	0.24	1.78	1	-753.08	-0.67	0.87	1	0.00	0.00	0.00	0	-779.90	-322.15	273.80	1	-781.71	-303.18	274.27	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.34000	20.40	-364.99	0.07	1	-0.28	0.37	0.79	1	-752.99	-0.41	-0.88	1	0.00	0.00	0.00	0	-779.60	-322.42	272.57	1	-781.76	-303.18	274.49	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.34500	20.14	-364.90	0.39	1	0.35	0.30	0.10	1	-752.59	-0.45	0.69	1	0.00	0.00	0.00	0	-779.93	-322.32	273.55	1	-781.71	-303.21	274.28	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.35000	20.78	-365.06	-0.70	1	-0.49	0.27	1.76	1	-753.12	-0.28	0.74	1	0.00	0.00	0.00	0	-779.83	-322.32	273.59	1	-781.63	-303.35	273.53	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.35500	20.17	-364.75	1.48	1	0.41	0.18	-0.51	1	-752.76	-0.47	-1.06	1	0.00	0.00	0.00	0	-779.76	-322.57	273.26	1	-781.65	-303.41	273.87	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.36000	20.63	-364.95	-0.67	1	-0.37	0.22	1.63	1	-752.62	-0.35	-1.22	1	0.00	0.00	0.00	0	-779.77	-322.43	273.60	1	-781.71	-303.46	273.07	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.36500	20.51	-365.03	0.18	1	0.24	0.13	-0.15	1	-752.99	-0.43	-0.37	1	0.00	0.00	0.00	0	-780.10	-322.53	273.71	1	-781.98	-303.32	275.23	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.37000	21.19	-364.99	-1.63	1	-0.35	0.25	1.45	1	-753.09	-0.21	-1.66	1	0.00	0.00	0.00	0	-779.91	-322.73	273.59	1	-781.71	-303.52	273.90	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.37500	20.02	-364.62	1.73	1	-0.70	0.27	2.15	1	-752.41	-0.37	-2.30	1	0.00	0.00	0.00	0	-779.97	-322.82	273.59	1	-782.11	-303.48	275.54	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.38000	20.22	-364.71	0.85	1	-0.11	0.35	1.83	1	-753.45	-0.19	0.23	1	0.00	0.00	0.00	0	-780.05	-322.92	272.97	1	-781.87	-303.79	275.20	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.38500	20.02	-365.00	0.81	1	-0.36	0.53	1.41	1	-752.52	-0.25	-1.86	1	0.00	0.00	0.00	0	-780.10	-322.97	274.31	1	-781.81	-303.80	274.47	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.39000	20.78	-365.10	-0.49	1	0.49	0.21	-0.47	1	-752.90	-0.17	-0.01	1	0.00	0.00	0.00	0	-780.11	-323.03	274.31	1	-781.74	-303.91	274.35	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.39500	20.62	-364.87	0.02	1	-0.18	0.09	0.29	1	-752.79	-0.04	-2.73	1	0.00	0.00	0.00	0	-780.14	-323.13	274.21	1	-782.07	-303.81	275.68	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.40000	19.92	-364.85	1.22	1	0.17	0.08	-0.13	1	-752.76	-0.08	0.89	1	0.00	0.00	0.00	0	-780.01	-323.32	273.87	1	-781.74	-304.14	274.07	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.40500	20.50	-364.94	0.55	1	-0.30	0.19	1.35	1	-753.27	-0.04	1.13	1	0.00	0.00	0.00	0	-780.13	-323.41	273.51	1	-781.95	-304.05	274.70	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.41000	20.19	-364.84	0.89	1	0.18	0.37	0.85	1	-752.99	-0.45	0.49	1	0.00	0.00	0.00	0	-780.18	-323.37	273.94	1	-782.05	-304.19	275.59	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.41500	20.28	-364.78	0.58	1	-0.06	0.36	0.76	1	-753.01	-0.01	-0.08	1	0.00	0.00	0.00	0	-779.92	-323.56	273.87	1	-781.71	-304.23	274.12	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.42000	20.16	-364.82	1.07	1	-0.44	0.28	1.34	1	-752.97	-0.05	0.38	1	0.00	0.00	0.00	0	-779.99	-323.74	273.63	1	-781.79	-304.39	275.70	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.42500	20.18	-364.77	0.77	1	-0.57	0.28	1.61	1	-753.35	-0.32	1.42	1	0.00	0.00	0.00	0	-780.29	-323.73	274.25	1	-781.66	-304.50	275.03	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.43000	20.18	-364.76	0.74	1	-0.85	0.24	2.70	1	-753.20	-0.59	-0.01	1	0.00	0.00	0.00	0	-779.93	-323.87	273.70	1	-781.78	-304.46	276.16	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.43500	20.08	-364.96	0.99	1	0.44	0.25	-0.79	1	-752.64	-0.41	-0.23	1	0.00	0.00	0.00	0	-779.97	-323.85	273.25	1	-781.89	-304.52	275.88	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.44000	20.51	-365.11	0.31	1	-0.26	0.23	1.16	1	-753.04	-0.34	-0.32	1	0.00	0.00	0.00	0	-780.05	-323.99	273.86	1	-781.67	-304.69	274.58	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.44500	20.18	-364.99	0.38	1	-0.45	0.16	0.70	1	-752.55	-0.23	-1.47	1	0.00	0.00	0.00	0	-780.14	-324.15	273.79	1	-781.98	-304.68	275.74	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.45000	20.00	-364.78	1.05	1	-0.00	0.23	0.63	1	-753.26	-0.29	0.50	1	0.00	0.00	0.00	0	-780.34	-324.03	273.93	1	-781.90	-304.83	275.04	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.45500	19.48	-364.69	2.44	1	0.33	0.11	-0.14	1	-753.63	-0.29	3.17	1	0.00	0.00	0.00	0	-780.35	-324.10	275.31	1	-781.96	-304.90	275.52	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.46000	20.83	-364.99	-0.69	1	-0.39	0.26	1.08	1	-753.21	-0.39	0.54	1	0.00	0.00	0.00	0	-780.32	-324.13	274.60	1	-781.94	-304.92	276.36	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.46500	20.41	-365.06	0.38	1	0.04	0.17	0.83	1	-752.41	-0.40	-5.22	1	0.00	0.00	0.00	0	-780.13	-324.38	273.82	1	-781.88	-305.07	276.02	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.47000	20.19	-364.80	0.94	1	0.51	0.10	-0.93	1	-752.49	-0.34	-0.66	1	0.00	0.00	0.00	0	-780.27	-324.48	274.98	1	-782.17	-305.13	276.60	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.47500	20.58	-365.03	-0.22	1	-0.59	0.32	2.28	1	-752.78	-0.21	-2.25	1	0.00	0.00	0.00	0	-780.13	-324.53	274.42	1	-781.68	-305.23	274.65	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.48000	19.88	-364.76	1.55	1	-0.31	0.33	1.66	1	-753.12	-0.58	0.53	1	0.00	0.00	0.00	0	-780.08	-324.68	273.54	1	-781.84	-305.19	275.33	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.48500	19.83	-364.77	1.70	1	-0.37	0.24	1.39	1	-752.99	-0.41	-1.91	1	0.00	0.00	0.00	0	-779.95	-324.62	273.56	1	-782.05	-305.33	276.56	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.49000	20.55	-364.96	0.23	1	0.24	0.19	-0.01	1	-752.69	-0.19	-0.21	1	0.00	0.00	0.00	0	-780.14	-324.71	274.31	1	-781.97	-305.39	276.78	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.49500	19.80	-364.62	1.82	1	-0.05	0.22	0.50	1	-752.75	-0.46	-0.84	1	0.00	0.00	0.00	0	-780.18	-324.64	275.18	1	-781.98	-305.39	276.19	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.50000	20.67	-365.00	-0.00	1	-0.09	0.19	0.54	1	-752.67	-0.25	-1.44	1	0.00	0.00	0.00	0	-780.08	-324.64	274.24	1	-781.74	-305.49	276.24	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.50500	20.20	-364.85	1.05	1	0.32	0.16	-0.86	1	-752.98	-0.41	-0.03	1	0.00	0.00	0.00	0	-780.24	-324.74	274.18	1	-781.80	-305.56	275.95	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.51000	20.38	-365.00	0.22	1	0.37	0.21	-0.22	1	-752.65	-0.31	-2.76	1	0.00	0.00	0.00	0	-780.30	-324.71	274.09	1	-781.69	-305.61	274.55	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.51500	20.69	-364.94	-0.20	1	0.08	0.28	0.07	1	-752.47	-0.54	-2.05	1	0.00	0.00	0.00	0	-780.14	-324.82	273.63	1	-781.94	-305.28	276.51	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.52000	20.68	-364.91	-0.13	1	0.57	0.14	-1.17	1	-752.64	-0.26	-1.75	1	0.00	0.00	0.00	0	-779.97	-324.77	273.04	1	-781.74	-305.49	275.03	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
0.52500	20.29	-365.00	0.70	1	-0.48	0.24	2.05	1	-753.25	-0.36	1.27	1	0.00	0.00	0.00	0	-780.42	-324.49	275.32	1	-781.88	-305.45	276.10	1	0.00	0.00	0.00	0	-854.97	-308.98	268.00	0
